Record Number	Title	Token	Tag
9	Chanel Leo Lion Flap Bag Chevron Lambskin Medium	Flap	Type
9	Chanel Leo Lion Flap Bag Chevron Lambskin Medium	Bag	Type
9	Chanel Leo Lion Flap Bag Chevron Lambskin Medium	Chevron	Pattern
9	Chanel Leo Lion Flap Bag Chevron Lambskin Medium	Lambskin	Material
9	Chanel Leo Lion Flap Bag Chevron Lambskin Medium	Medium	Size
10	Gucci White " HoBo " Vintage Handbag Authenticated Two Tone " Genuine Leather "	Gucci	Brand
10	Gucci White " HoBo " Vintage Handbag Authenticated Two Tone " Genuine Leather "	White	Color
10	Gucci White " HoBo " Vintage Handbag Authenticated Two Tone " Genuine Leather "	"	No Tag
10	Gucci White " HoBo " Vintage Handbag Authenticated Two Tone " Genuine Leather "	HoBo	Type
10	Gucci White " HoBo " Vintage Handbag Authenticated Two Tone " Genuine Leather "	"	No Tag
10	Gucci White " HoBo " Vintage Handbag Authenticated Two Tone " Genuine Leather "	Vintage	No Tag
10	Gucci White " HoBo " Vintage Handbag Authenticated Two Tone " Genuine Leather "	Handbag	Type
10	Gucci White " HoBo " Vintage Handbag Authenticated Two Tone " Genuine Leather "	Authenticated	No Tag
10	Gucci White " HoBo " Vintage Handbag Authenticated Two Tone " Genuine Leather "	Two	No Tag
10	Gucci White " HoBo " Vintage Handbag Authenticated Two Tone " Genuine Leather "	Tone	No Tag
10	Gucci White " HoBo " Vintage Handbag Authenticated Two Tone " Genuine Leather "	"	No Tag
10	Gucci White " HoBo " Vintage Handbag Authenticated Two Tone " Genuine Leather "	Genuine	No Tag
10	Gucci White " HoBo " Vintage Handbag Authenticated Two Tone " Genuine Leather "	Leather	Material
10	Gucci White " HoBo " Vintage Handbag Authenticated Two Tone " Genuine Leather "	"	No Tag
