,Record Number,Token,predicted,expected
177,231,Anti-Theft,Features,Features
178,231,Concealed Carry,Pocket Type,Pocket Type
179,231,Hobo,Type,Type
180,231,Bag,Type,Type
181,231,Black,Color,Color
182,241,LOUIS VUITTON,Brand,Brand
183,241,Giant,Size,Size
184,241,Monogram,Pattern,Pattern
185,241,Neverfull MM,Model,Model
186,241,Khaki,Color,Color
187,241,Green,Color,Color
188,241,Beige,Color,Color
189,251,LOUIS VUITTON,Brand,Brand
190,251,Reade PM,Model,Model
191,251,M91335,MPN,MPN
192,251,Indigo,Color,Color
193,251,Monogram,Pattern,Pattern
194,251,Vernis,Product Line,Product Line
195,251,MI1014,MPN,No Tag
196,251,Womens,Department,Department
197,251,Handbag,Type,Type
198,261,BALENCIAGA,Brand,Brand
199,261,Mini,Size,Size
200,261,Neo,Model,Model
201,261,Classic,Model,Model
202,261,City,Product Line,Product Line
203,261,Croc,Pattern,Pattern
204,261,Embossed,Accents,Accents
205,261,Leather,Material,Material
206,261,Top Handle,Handle Style,Handle Style
207,261,Bag,Type,Type
208,271,Women,Department,Department
209,271,Luxury,Theme,Theme
210,271,Jelly,Material,Material
211,271,Bag,Type,Type
212,271,Polishing,Features,Fabric Type
213,271,Leather,Material,Material
214,271,Shoulder,Type,Type
215,271,Handbag,Type,Type
216,271,Crossbody,Type,Type
217,271,Tote,Type,Type
218,271,Shell,Pattern,Color
219,281,JIL SANDER,Brand,Brand
220,281,drawstring,Closure,Closure
221,281,bag,Type,Type
222,281,bag,Type,Type
223,281,crossbody,Type,Type
224,281,reversible,Features,Features
225,281,shoulder,Type,Type
226,281,bag,Type,Type
227,281,bag,Type,Type
228,291,Louis Vuitton,Brand,Brand
229,291,Marelle Sac a Dos,Model,Model
230,291,Backpack,Type,Type
231,291,Monogram,Pattern,Pattern
232,291,Canvas,Fabric Type,Material
233,301,Ladies Womens,Department,Department
234,301,Stud,Accents,Accents
235,301,Handbag,Type,Type
236,301,Crossover body,Handle Style,
237,301,bag,Type,
238,301,Satchel,Type,Type
239,301,Messenger,Type,Type
240,301,Shoulder,Type,Type
241,311,MICHAEL KORS,Brand,Brand
242,311,SIGNATURE,Pattern,Pattern
243,311,GRAYSON,Model,Model
244,311,WHITE,Color,Color
245,311,NAVY,Color,Color
246,311,CHAIN,Handle/Strap Material,Handle/Strap Material
247,311,SATCHEL,Type,Type
248,311,HANDBAG,Type,Type
249,321,Express,Brand,Brand
250,321,Women 's,Department,Department
251,321,Turnlock,Closure,Closure
252,321,Crossbody,Type,Type
253,321,Messenger,Type,Type
254,321,Bag,Type,Type
255,321,Gray,Color,Color
256,331,Louis Vuitton,Brand,Brand
257,331,Black,Color,Color
258,331,Epi,Material,Material
259,331,Arche,Model,Model
260,331,Shoulder,Type,Type
261,331,Bag,Type,Type
262,331,M52572,MPN,MPN
263,341,Louis Vuitton,Brand,Brand
264,341,Saint Jacques,Model,Model
265,341,Handbag,Type,Type
266,341,Epi Leather,Material,Material
267,341,GM,Model,Model
268,351,Large,Size,Size
269,351,Nylon,Material,Material
270,351,Tote,Type,Type
271,351,Water Resistant,Features,Features
272,351,Top Zip,Closure,Closure
273,351,Shoulder,Type,Type
274,351,Bag,Type,Type
275,351,Handbag,Type,Type
276,361,GUCCI,Brand,Brand
277,361,Logo,Accents,Accents
278,361,Bamboo,Product Line,Product Line
279,361,Hand,Type,Type
280,361,Tote,Type,Type
281,361,Bag,Type,Type
282,361,Leather,Material,Material
283,361,Brown,Color,Color
284,361,Gold-Plated,Hardware Material,Hardware Material
285,361,Italy,Country/Region of Manufacture,Country/Region of Manufacture
286,361,01MQ835,MPN,MPN
287,371,Anello,Brand,Brand
288,371,Japan,Country/Region of Manufacture,Country/Region of Manufacture
289,371,Small,Size,Size
290,371,2way,Features,Features
291,371,Shoulder,Type,Type
292,371,Bag,Type,Type
293,371,Carry Case,Type,Type
294,371,Navy,Color,Color
295,371,AT-H0851,MPN,MPN
296,381,Gucci,Brand,Brand
297,381,Bag Clutch,Type,Type
298,381,GG,Brand,Brand
299,381,CANVAS,Fabric Type,Fabric Type
300,381,LEATHER,Material,Material
301,381,NAVY,Color,Color
302,381,GOLD,Color,Color
303,391,louis vuittons,Brand,Brand
304,391,handbags,Type,Type
305,401,Vera Bradley,Brand,Brand
306,401,Triple Zip,Closure,Closure
307,401,Hipster,Style,Model
308,401,Crossbody,Type,Type
309,401,Bag,Type,Type
310,401,Purse,Type,Type
311,401,Superbloom,Color,Color
312,401,Pink,Color,Color
313,411,Gucci,Brand,Brand
314,411,Zip,Closure,
315,411,Messenger,Type,Type
316,411,Guccissima,Product Line,Product Line
317,411,Leather,Material,Material
318,411,Medium,Size,Size
319,421,Lady,Department,Department
320,421,bag,Type,Type
321,421,bag,Type,Type
322,421,HandBag,Type,Type
323,421,pink,Color,Color
324,421,Blush,Color,Color
325,421,bag,Type,Type
326,421,bag,Type,Type
327,421,women,Department,Department
328,421,handbag,Type,Type
329,421,LEATHER,Material,Material
330,421,HANDBAG,Type,Type
331,431,WOMENS GIRLS,Department,Department
332,431,JANSPORT,Brand,Brand
333,431,SUPERBREAK,Model,Model
334,431,NAVY,Color,Color
335,431,BLUE,Color,Color
336,431,BACKPACK,Type,Type
337,431,SCHOOL,Occasion,Occasion
338,431,BAG,Type,Type
339,441,Vera Bradley,Brand,Brand
340,441,Kensington,Model,Model
341,441,Maggie,Model,Product Line
342,441,Handbag,Type,Type
343,441,Purse,Type,Type
344,441,floral,Pattern,
345,441,paisley,Pattern,
346,451,Louis Vuitton,Brand,Brand
347,451,My Lockme BB,Model,Model
348,451,Light,Color,Color
349,451,Blue,Color,Color
350,451,Leather,Material,Material
351,451,Chain,Handle/Strap Material,Handle/Strap Material
352,451,Bag,Type,Type
353,461,Lady,Department,Department
354,461,Braid,Fabric Type,Fabric Type
355,461,Shopping Tote,Type,Type
356,461,Quilted,Accents,Accents
357,461,Distressed,Fabric Type,Fabric Type
358,461,Lambskin,Material,Material
359,461,Medium,Size,Size
360,471,Shiraleah,Brand,Brand
361,471,Womens,Department,Department
362,471,Purse,Type,Type
363,471,Geometric,Pattern,Pattern
364,471,Teal,Color,Color
365,471,Taupe,Color,Color
366,471,Brown,Color,Color
367,471,Handbag,Type,Type
368,471,Velvet,Material,Material
369,471,Flower,Pattern,Pattern
370,481,CHANEL,Brand,Brand
371,481,Matelasse,Pattern,Pattern
372,481,Double Flap,Type,Type
373,481,Chain,Handle/Strap Material,Handle/Strap Material
374,481,Shoulder,Type,Type
375,481,Bag,Type,Type
376,481,Black,Color,Color
377,481,Leather,Material,Material
378,491,LoZoDo,Brand,Brand
379,491,Women,Department,Department
380,491,Top Handle,Handle Style,Handle Style
381,491,Satchel,Type,Type
382,491,Handbags,Type,Type
383,491,Shoulder,Type,Type
384,491,Bag,Type,Type
385,491,Tote,Type,Type
386,491,Purse,Type,Type
387,501,Gucci,Brand,Brand
388,501,Dionysus,Model,Model
389,501,Bag,Type,Type
390,501,Leather,Material,Material
391,501,Small,Size,Size
392,511,Louis Vuitton,Brand,Brand
393,511,Idylle Ballade PM,Model,Model
394,511,Leather,Material,Material
395,511,Handbag,Type,Type
396,511,Monogram,Pattern,Pattern
397,511,Logo,Accents,Accents
398,511,Purse,Type,Type
399,521,PRADA,Brand,Brand
400,521,BN1877,MPN,MPN
401,521,Canapa,Model,Model
402,521,Hand Bag,Type,Type
403,521,Tote,Type,Type
404,521,Bag,Type,Type
405,521,Cotton,Material,Material
406,521,Canvas,Fabric Type,Fabric Type
407,521,pink,Color,Color
408,531,FENDI,Brand,Brand
409,531,Mamma,Product Line,Product Line
410,531,Baguette,Type,Type
411,531,Shoulder,Type,Type
412,531,Bag,Type,Type
413,531,Kinit,Product Line,Fabric Type
414,531,Leather,Material,Material
415,531,Ivory,Color,Color
416,541,LOUIS VUITTON,Brand,Brand
417,541,Chantilly PM,Model,Model
418,541,Monogram,Pattern,Pattern
419,541,Canvas,Fabric Type,Fabric Type
420,541,Shoulder,Type,Type
421,541,Bag,Type,Type
422,541,Purse,Type,Type
423,551,LOUIS VUITTON,Brand,Brand
424,551,MONTAIGNE MM DUNE,Model,
425,551,BEIGE,Color,Color
426,551,MONOGRAM,Pattern,Pattern
427,551,EMPREINTE,Model,Accents
428,551,BAG,Type,Type
429,551,M41152,MPN,MPN
430,561,Michael Kors,Brand,Brand
431,561,Rose,Color,Model
432,561,Medium,Size,Size
433,561,Shoulder,Type,Type
434,561,Flap,Type,Type
435,561,Chain,Handle/Strap Material,Handle/Strap Material
436,561,Bag,Type,Type
437,561,White,Color,Color
438,561,MK,Brand,Brand
439,561,Pearl,Color,Color
440,561,Grey,Color,Color
441,561,Crossbody,Type,Type
442,571,GUCCI,Brand,Brand
443,571,Bamboo,Product Line,Product Line
444,571,Handbag,Type,Type
445,571,Black,Color,Color
446,571,Leather,Material,Material
447,571,:30 cm,"Measurement, dimension","Measurement, dimension"
448,571,11.8 in,"Measurement, dimension","Measurement, dimension"
449,571,GG,Brand,Brand
450,581,ICONIC COLLECTOR 'S,Brand,
451,581,40cm,"Measurement, dimension","Measurement, dimension"
452,581,Matte,Color,Accents
453,581,BRONZE,Color,Color
454,581,CROCODILE,Pattern,Pattern
455,581,HERMES,Product Line,Brand
456,581,Birkin,Product Line,Product Line
457,581,Bag,Type,Type
458,591,LOUIS VUITTON,Brand,Brand
459,591,Monogram,Pattern,Pattern
460,591,Cabas Piano,Model,Model
461,591,Tote,Type,Type
462,591,Bag,Type,Type
463,591,M51148,MPN,MPN
464,591,LV,Brand,Brand
465,601,TRAVELON,Brand,Brand
466,601,GREEN,Color,Color
467,601,CROSS BODY,Type,Type
468,601,ANTI-THEFT,Features,Features
469,601,BAG,Type,Type
470,611,Coach,Brand,Brand
471,611,Mickey Mouse Disney,Character,
472,611,Women 's,Department,Department
473,611,Wallet,Type,Type
474,611,F58939,MPN,MPN
475,621,Vera Bradley Disney,Brand,Brand
476,621,Park Where 's Mickey,Character Family,
477,621,green,Color,Color
478,621,blue,Color,Color
479,621,Large,Size,Size
480,621,DUFFEL,Type,Type
481,621,TRAVEL,Occasion,Occasion
482,621,Bag,Type,Type
483,631,Michael Kors,Brand,Brand
484,631,Women 's,Department,Department
485,631,Small,Size,Size
486,631,Satchel,Type,Type
487,631,Ballet,Color,Color
488,631,Camille,Pattern,Color
489,631,Pebbled,Pattern,Pattern
490,631,Leather,Material,Material
491,631,30H5SCAS1L-857,MPN,MPN
492,641,Boston,Type,Type
493,641,leather,Material,Material
494,641,handbag,Type,Type
495,641,women,Department,Department
496,651,Kate Spade,Brand,Brand
497,651,Cara,Model,Model
498,651,Large,Size,Size
499,651,Top Zip,Closure,Closure
500,651,Tote,Type,Type
501,651,Leopard,Pattern,
502,651,Animal,Pattern,
503,651,Black,Color,Color
504,651,Tan,Color,Color
505,661,GUCCI,Brand,Brand
506,661,Soho,Product Line,Model
507,661,Tassel,Accents,Accents
508,661,Flap,Type,Type
509,661,GG,Brand,Brand
510,661,Shoulder,Type,Type
511,661,Bag,Type,Type
512,661,Crossbody,Type,Type
513,661,Black,Color,Color
514,661,Leather,Material,Material
515,671,CHLOE VANESSA,Brand,
516,671,Large,Size,Size
517,671,Black,Color,Color
518,671,Leather,Material,Material
519,671,Handbag,Type,Type
520,681,Mary Frances,Brand,Brand
521,681,True Beauty Disney,Character Family,
522,681,Flower Lotus,Pattern,
523,681,Floral,Pattern,
524,681,Beaded,Accents,Accents
525,681,Handbag Bag,Type,Type
526,691,MICHAEL KORS,Brand,Brand
527,691,RAYNE,Model,Model
528,691,MEDIUM,Size,Size
529,691,EAST WEST,Product Line,Model
530,691,SATCHEL,Type,Type
531,691,SHOULDER,Type,Type
532,691,LEATHER,Material,Material
533,691,BAG,Type,Type
534,701,Alligator,Material,Material
535,701,Brown,Color,Color
536,701,Handbag,Type,Type
537,701,Purse,Type,Type
538,701,Argentina,Country/Region of Manufacture,Country/Region of Manufacture
539,711,Indian,Theme,Style
540,711,Boho,Style,Style
541,711,Handbag,Type,Type
542,711,Green,Color,Color
543,711,Elephant,Pattern,Pattern
544,711,Women 's,Department,Department
545,711,Animal,Pattern,Pattern
546,711,Pink,Color,Color
547,721,FOSSIL KEY PER,Brand,
548,721,COATED CANVAS,Fabric Type,Fabric Type
549,721,BAG,Type,Type
550,721,MESSENGER,Type,Type
551,721,PURSE,Type,Type
552,731,GOYARD,Brand,Brand
553,731,St Louis GM,Model,Model
554,731,Pouch,Type,Type
555,731,Yellow,Color,Color
556,731,Large,Size,Size
557,731,Monogram,Pattern,Pattern
558,731,Tote,Type,Type
559,731,Bag,Type,Type
560,741,COACH,Brand,Brand
561,741,F72664,MPN,MPN
562,741,Small,Size,Size
563,741,Zoe,Model,Model
564,741,Carryall,Type,Type
565,741,Lizard,Pattern,Pattern
566,741,Leather,Material,Material
567,741,Satchel,Type,Type
568,741,Handbag,Type,Type
569,741,SV,Color,No Tag
570,741,Chalk,Color,Color
571,751,-MICHAEL KORS,Brand,
572,751,MD MOXLEY,Model,Model
573,751,LUGGAGE,Type,Type
574,751,BROWN,Color,Color
575,751,LEATHER,Material,Material
576,751,TOTE,Type,Type
577,751,PURSE,Type,Type
578,751,SHOULDER+HAND BAG,Type,
579,761,Fossil,Brand,Brand
580,761,Black,Color,Color
581,761,Leather,Material,Material
582,761,Side Pockets,Pocket Type,Pocket Type
583,761,Upper,Features,
584,761,Zipper,Closure,
585,761,Satchel,Type,Type
586,761,Bag,Type,Type
587,771,CASUAL EVERYDAY,Occasion,Occasion
588,771,MACO DUAL,Model,
589,771,SHOULDER,Type,Type
590,771,TOTE,Type,Type
591,771,BAG,Type,Type
592,771,PREMIUM,Color,No Tag
593,771,CREASE,Color,Pattern
594,771,COWHIDE LEATHER,Material,Material
595,781,Express,Brand,Brand
596,781,Nude,Color,Color
597,781,Studded,Accents,Accents
598,781,Medium Sized,Size,
599,781,Crossbody,Type,Type
600,781,Bag,Type,Type
601,781,Purse,Type,Type
602,791,LOUIS VUITTON,Brand,Brand
603,791,LV,Brand,Brand
604,791,Logo,Accents,Accents
605,791,Deauville,Model,Model
606,791,Hand Bag,Type,Type
607,791,Monogram,Pattern,Pattern
608,791,Leather,Material,Material
609,791,Brown,Color,Color
610,791,M47270,MPN,
611,801,CHANEL,Brand,Brand
612,801,Cambon,Product Line,
613,801,Large,Size,Size
614,801,Tote,Type,Type
615,801,Black,Color,Color
616,801,Lambskin Patent Leather,Material,Material
617,801,Womens,Department,Department
618,811,FOSSIL,Brand,Brand
619,811,Black,Color,Color
620,811,Pebbled,Pattern,Pattern
621,811,Leather,Material,Material
622,811,Shoulder,Type,Type
623,811,Bag,Type,Type
624,811,Brown,Color,Color
625,811,Handles,Handle Style,Handle Style
626,821,Snakeskin,Material,Material
627,821,Bag,Type,Type
628,821,Bag,Type,Type
629,821,Purse,Type,Type
630,821,Tassel,Accents,Accents
631,821,Bag,Type,Type
632,821,Bag,Type,Type
633,821,Cobra Snake,Pattern,Material
634,821,Black,Color,Color
635,821,7x13x1,"Measurement, dimension",
636,831,Furla,Brand,Brand
637,831,Ginerva,Model,Model
638,831,Medium,Size,Size
639,831,Maple,Color,Color
640,831,Leather,Material,Material
641,831,Hobo,Type,Type
642,831,Shoulder,Type,Type
643,831,Bag,Type,Type
644,841,Michael Kors,Brand,Brand
645,841,Jet set,Product Line,Product Line
646,841,Large,Size,Size
647,841,Messenger,Type,Type
648,841,Bag,Type,Type
649,841,Vanilla,Color,Color
650,841,MK,Brand,Brand
651,851,Hello Kitty,Character,Character Family
652,851,Girls,Department,Department
653,851,Patent Leather,Material,Material
654,851,Hand,Type,Type
655,851,Shoulder,Type,Type
656,851,Travel Gym,Occasion,Occasion
657,851,Bag,Type,Type
658,851,Handbag,Type,Type
659,851,Dark,Color,Color
660,851,Pink,Color,Color
661,861,Tote,Type,Type
662,861,Bag,Type,Type
663,871,Gucci,Brand,Brand
664,871,GG,Brand,Brand
665,871,Web,Product Line,Product Line
666,871,Shoulder,Type,Type
667,871,Handbag,Type,Type
668,871,Pocketbook,Type,Type
669,871,Purse,Type,Type
670,871,Brown,Color,Color
671,871,Leather,Material,Material
672,881,LOUIS VUITTON,Brand,Brand
673,881,Speedy 25,Model,Model
674,881,Travel,Occasion,Occasion
675,881,Hand Bag,Type,Type
676,881,Monogram,Pattern,Pattern
677,881,Leather,Material,Material
678,881,Brown,Color,Color
679,881,M41528,MPN,MPN
680,891,FALOR,Brand,Brand
681,891,F7349ROM,MPN,MPN
682,891,X Large,Size,Size
683,891,Black,Color,Color
684,891,Woven,Fabric Type,Fabric Type
685,891,Leather,Material,Material
686,891,Tote,Type,Type
687,891,Shoulder,Type,Type
688,891,Bag,Type,Type
689,891,falorni,Theme,No Tag
690,901,CHANEL,Brand,Brand
691,901,CC,Brand,Brand
692,901,Drawstring,Closure,Closure
693,901,Chain,Handle/Strap Material,Handle/Strap Material
694,901,Shoulder,Type,Type
695,901,Bag,Type,Type
696,901,Leather,Material,Material
697,901,Black,Color,Color
698,901,396LA879,MPN,No Tag
699,911,SUSAN BENNIS,Brand,
700,911,WARREN EDWARDS,Model,
701,911,Italy,Country/Region of Manufacture,Country/Region of Manufacture
702,911,Gold,Color,Color
703,911,Grommets,Accents,Accents
704,911,Tortoise,Color,Style
705,911,Bag,Type,Type
706,921,Louis Vuitton,Brand,Brand
707,921,Dauphine,Model,Model
708,921,Shoulder,Type,Type
709,921,Bag,Type,Type
710,921,MM,Model,Model
711,921,Brown,Color,Color
712,921,Canvas,Fabric Type,Fabric Type
713,931,ZARA,Brand,Brand
714,931,WHITE,Color,Color
715,931,FUR,Material,Material
716,931,CLUTCH,Type,Type
717,931,HANDBAG,Type,Type
718,931,SHOULDER,Type,Type
719,931,BAG,Type,Type
720,941,La Calenita,Model,Brand
721,941,Round,Style,Style
722,941,Straw,Material,Material
723,941,Crossbody,Type,Type
724,941,Spanish,Country/Region of Manufacture,
725,941,Mexican,Country/Region of Manufacture,
726,941,Bag,Type,Type
727,941,Columbia,Brand,Country/Region of Manufacture
728,951,LOUIS VUITTON,Brand,Brand
729,951,Amarante,Color,Color
730,951,Monogram,Pattern,Pattern
731,951,Vernis,Product Line,Product Line
732,951,Leather,Material,Material
733,951,Brea GM,Model,Model
734,951,Shoulder,Type,Type
735,951,Bag,Type,Type
736,961,Disney,Brand,Brand
737,961,Dooney & Bourke,Brand,Brand
738,961,DVC,Brand,
739,961,20th Vacation Club,Model,
740,961,Shopper,Type,Type
741,961,Large,Size,Size
742,961,Tote,Type,Type
743,961,Bag,Type,Type
744,971,Louis Vuitton,Brand,Brand
745,971,Damier,Product Line,Product Line
746,971,Neverfull PM,Model,Model
747,971,Tote,Type,Type
748,971,Bag,Type,Type
749,971,N51109,MPN,MPN
750,971,LV,Brand,Brand
751,981,Women 's,Department,Department
752,981,Lina,Brand,Model
753,981,Green,Color,Color
754,981,Floral,Pattern,Pattern
755,981,Mini,Size,Size
756,981,Shoulder,Type,Type
757,981,Bag,Type,Type
758,991,Kipling,Brand,Brand
759,991,Women 's,Department,Department
760,991,Keiko,Model,Model
761,991,Printed,Features,Features
762,991,Crossbody,Type,Type
763,991,Mini,Size,Size
764,991,Bag,Type,Type
765,991,Pockets,Features,Features
766,991,Keychain,Accents,
767,1001,Kate Spade,Brand,Brand
768,1001,Staci,Model,Model
769,1001,Medium,Size,Size
770,1001,Satchel,Type,Type
771,1001,Leather,Material,Material
772,1001,Warm,Color,Color
773,1001,Beige,Color,Color
774,1011,HARVEYS Disney,Brand,Brand
775,1011,Haunted Mansion,Character Family,Character Family
776,1011,Vertical,Style,Style
777,1011,Medium,Size,Size
778,1011,Streamline,Style,Style
779,1011,Tote,Type,Type
780,1021,❤,Brand,No Tag
781,1021,❤,Brand,No Tag
782,1021,BRAHMIN,Brand,Brand
783,1021,SMALL,Size,Size
784,1021,NORAH,Model,Model
785,1021,BLACK,Color,Color
786,1021,CORSICA,Product Line,Color
787,1021,WHITE,Color,Color
788,1021,STRIPE,Pattern,Pattern
789,1021,LEATHER,Material,Material
790,1021,CROC,Pattern,Pattern
791,1021,CRANE,Pattern,No Tag
792,1021,❤,Brand,No Tag
793,1021,❤,Brand,No Tag
794,1031,CHANEL,Brand,Brand
795,1031,Black,Color,Color
796,1031,Quilted,Features,Accents
797,1031,Calfskin,Material,Material
798,1031,Logo,Accents,Accents
799,1031,CHAIN,Handle/Strap Material,Handle/Strap Material
800,1031,Hobo,Type,Type
801,1031,Foldover,Features,Features
802,1031,Shoulder,Type,Type
803,1031,Bag,Type,Type
804,1041,Bottega Veneta,Brand,Brand
805,1041,Convertible,Features,Features
806,1041,Flat,Style,Style
807,1041,Zip,Closure,Closure
808,1041,Tote,Type,Type
809,1041,Intrecciato,Pattern,Pattern
810,1041,Nappa,Material,Material
811,1041,Large,Size,Size
812,1051,Louis Vuitton,Brand,Brand
813,1051,Damier,Product Line,Product Line
814,1051,Azur,Color,Color
815,1051,Siracusa MM,Model,Model
816,1051,Shoulder,Type,Type
817,1051,Bag,Type,Type
818,1051,N41112,MPN,MPN
819,1061,Fendi,Brand,Brand
820,1061,20AW,Model,Model
821,1061,Canvas,Fabric Type,Fabric Type
822,1061,Shopper,Type,Type
823,1061,Tote,Type,Type
824,1061,Bag,Type,Type
825,1061,8BH380,MPN,MPN
826,1061,Ivory,Color,Color
827,1071,Louis Vuitton,Brand,Brand
828,1071,Monogram,Pattern,Pattern
829,1071,Vernis,Product Line,Product Line
830,1071,Rayures Alma BB,Model,Model
831,1071,Handbag,Type,Type
832,1071,Shoulder,Type,Type
833,1071,Bag,Type,Type
834,1081,BEACH,Brand,Occasion
835,1081,BASIC,Model,No Tag
836,1081,CANVAS,Fabric Type,Fabric Type
837,1081,TOTE,Type,Type
838,1081,ROPE,Handle/Strap Material,Handle/Strap Material
839,1081,HANDLE,Handle Style,Handle Style
840,1081,BAG,Type,Type
841,1091,CHANEL,Brand,Brand
